source,session_id,prompt,raw_answer,valid,returncode,started_utc
evidence/legacy/container_replication_20260906/raw_runs/01.json,7e27731d-3579-3c82-afc9-67953f4001ba,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,True,0,2026-09-06T21:01:39.947445+00:00
evidence/legacy/container_replication_20260906/amendment_01/raw_runs/02.json,fe64949f-4e67-f986-15ff-23d0daee9053,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,True,0,2026-09-06T21:17:41.968951+00:00
evidence/legacy/container_replication_20260906/amendment_01/raw_runs/03.json,b5ef14cb-a215-f811-5b8c-24998ad17ecc,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,True,0,2026-09-06T21:17:49.246728+00:00
evidence/legacy/container_replication_20260906/amendment_01/raw_runs/04.json,ebcdf168-a05e-cba3-f64e-1b1e0fb03b80,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,True,0,2026-09-06T21:17:55.947901+00:00
evidence/legacy/container_replication_20260906/amendment_01/raw_runs/05.json,3f9f0b78-a1c5-dc97-a66b-62d5e1ffd5db,Invent a literary novel title. Title only.,The Cartographer of Forgotten Rain,True,0,2026-09-06T21:18:02.130572+00:00
evidence/legacy/container_replication_20260906/amendment_01/raw_runs/06.json,2ba5f9d9-5e3f-4990-ef6f-29ab2f7ce455,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,True,0,2026-09-06T21:18:08.794316+00:00
evidence/legacy/container_replication_20260906/amendment_01/raw_runs/07.json,98d6e497-2d4a-0087-d2b0-21a41cabe562,Invent a literary novel title. Title only.,The Cartographer of Unfinished Goodbyes,True,0,2026-09-06T21:18:15.679675+00:00
evidence/legacy/container_replication_20260906/amendment_01/raw_runs/08.json,fa7d2e1a-6ee9-cf84-2733-7e2bc95f707f,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,True,0,2026-09-06T21:18:24.131325+00:00
evidence/legacy/container_replication_20260906/amendment_01/raw_runs/09.json,9e7373b3-1e65-7aa5-f2b9-773466c12239,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,True,0,2026-09-06T21:18:30.875379+00:00
evidence/legacy/container_replication_20260906/amendment_01/raw_runs/10.json,2de79621-a92e-4120-6d0a-8b384b3d0c14,Invent a literary novel title. Title only.,,False,1,2026-09-06T21:18:37.628663+00:00
evidence/legacy/container_replication_20260906/extension_02/raw_runs/E01.json,43b05543-9647-a054-53d7-c5fde4dc39d8,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,True,0,2026-09-07T11:28:26.961887+00:00
evidence/legacy/container_replication_20260906/extension_02/raw_runs/E02.json,c9fe706d-53bd-db67-f946-185916c3f06e,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,True,0,2026-09-07T11:28:33.781428+00:00
evidence/legacy/container_replication_20260906/extension_02/raw_runs/E03.json,2adf6209-8f47-552a-5ac7-034f2a56b41f,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,True,0,2026-09-07T11:28:40.918711+00:00
evidence/legacy/container_replication_20260906/extension_02/raw_runs/E04.json,7db6e275-6b83-9a1c-e272-01226398858a,Invent a literary novel title. Title only.,The Cartography of Vanishing Light,True,0,2026-09-07T11:28:47.699800+00:00
evidence/legacy/container_replication_20260906/extension_02/raw_runs/E05.json,28607c56-7e86-9ccb-abce-420a4f058914,Invent a literary novel title. Title only.,The Cartography of Vanishing Light,True,0,2026-09-07T11:28:54.465255+00:00
evidence/legacy/container_replication_20260906/extension_02/raw_runs/E06.json,f5a85c41-4978-e7e1-8a08-8cdc6bf807bc,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,True,0,2026-09-07T11:29:00.300200+00:00
evidence/legacy/container_replication_20260906/extension_02/raw_runs/E07.json,b4f3c6de-439d-b131-63fb-fe7be728dbfb,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,True,0,2026-09-07T11:29:07.942590+00:00
evidence/legacy/container_replication_20260906/extension_02/raw_runs/E08.json,9e92e76e-0d73-e4fd-414f-b2983b18bc66,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,True,0,2026-09-07T11:29:15.100257+00:00
evidence/legacy/container_replication_20260906/extension_02/raw_runs/E09.json,6a925789-95c0-78fc-0364-1c9344c01ad7,Invent a literary novel title. Title only.,The Cartographer of Unfinished Rain,True,0,2026-09-07T11:29:20.543412+00:00
evidence/legacy/container_replication_20260906/extension_02/raw_runs/E10.json,707fe4c2-346c-9b9f-0cf5-0e836d2db98e,Invent a literary novel title. Title only.,The Cartography of Vanishing Light,True,0,2026-09-07T11:29:26.123070+00:00
evidence/legacy/container_replication_20260906/extension_02/raw_runs/E11.json,19a6a74e-199a-d08e-ddeb-7421663a7f35,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,True,0,2026-09-07T11:29:32.489244+00:00
