sample,source_file,source_row,session_id,started_utc,prompt,raw_answer,cartograph,valid
1,luna_container_attempts.csv,1,7e27731d-3579-3c82-afc9-67953f4001ba,2026-09-06T21:01:39.947445+00:00,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,1,True
2,luna_container_attempts.csv,2,fe64949f-4e67-f986-15ff-23d0daee9053,2026-09-06T21:17:41.968951+00:00,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,1,True
3,luna_container_attempts.csv,3,b5ef14cb-a215-f811-5b8c-24998ad17ecc,2026-09-06T21:17:49.246728+00:00,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,1,True
4,luna_container_attempts.csv,4,ebcdf168-a05e-cba3-f64e-1b1e0fb03b80,2026-09-06T21:17:55.947901+00:00,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,True
5,luna_container_attempts.csv,5,3f9f0b78-a1c5-dc97-a66b-62d5e1ffd5db,2026-09-06T21:18:02.130572+00:00,Invent a literary novel title. Title only.,The Cartographer of Forgotten Rain,1,True
6,luna_container_attempts.csv,6,2ba5f9d9-5e3f-4990-ef6f-29ab2f7ce455,2026-09-06T21:18:08.794316+00:00,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,True
7,luna_container_attempts.csv,7,98d6e497-2d4a-0087-d2b0-21a41cabe562,2026-09-06T21:18:15.679675+00:00,Invent a literary novel title. Title only.,The Cartographer of Unfinished Goodbyes,1,True
8,luna_container_attempts.csv,8,fa7d2e1a-6ee9-cf84-2733-7e2bc95f707f,2026-09-06T21:18:24.131325+00:00,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,1,True
9,luna_container_attempts.csv,9,9e7373b3-1e65-7aa5-f2b9-773466c12239,2026-09-06T21:18:30.875379+00:00,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,True
10,luna_container_attempts.csv,11,43b05543-9647-a054-53d7-c5fde4dc39d8,2026-09-07T11:28:26.961887+00:00,Invent a literary novel title. Title only.,The Cartographer of Vanishing Hours,1,True
11,luna_container_attempts.csv,12,c9fe706d-53bd-db67-f946-185916c3f06e,2026-09-07T11:28:33.781428+00:00,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,1,True
12,luna_container_attempts.csv,13,2adf6209-8f47-552a-5ac7-034f2a56b41f,2026-09-07T11:28:40.918711+00:00,Invent a literary novel title. Title only.,The Cartographer of Vanishing Roads,1,True
13,luna_container_attempts.csv,14,7db6e275-6b83-9a1c-e272-01226398858a,2026-09-07T11:28:47.699800+00:00,Invent a literary novel title. Title only.,The Cartography of Vanishing Light,1,True
